title,abstract,science_field,collaborators,journal_name,evaluation,novelty,rigor,grammar,replicability,accessibility,mathematics,computer_and_information_sciences,physical_sciences,chemical_sciences,earth_and_related_environmental_sciences,biological_sciences,other_natural_sciences,civil_engineering,electrical_engineering,mechanical_engineering,chemical_engineering,materials_engineering,environmental_engineering,evironmental_biotechnology,industrial_biotechnology,nano-technology,other_engineering_and_technologies,basic_medicine,clinical_medicine,health_sciences,medical_biotechnology,other_medical_sciences,agriculture_forestry_and_fisheries,animal_and_dairy_science,veterinary_science,agricultural_biotechnology,other_agricultural_sciences,psychology,economics_and_business,education,sociology,law,political_science,social_and_economic_geography,media_and_communications,other_social_sciences,history_and_archaeology,languages_and_literature,philosophy_ethics_and_religion,arts,other_humanities_and_the_arts,applied_research,conclusive_research,correlational_research,descriptive_research,ethnographic_research,experiment,exploratory_research,focus_groups,interviews,mixed_methods,observation,qualitative_research,quantitative_research,questionnaires,secondary_research,survey_methodology
Spatial lag effect of aridity and nitrogen deposition on Scots pine (Pinus sylvestris L.) damage,"Scots pine (Pinus sylvestris L.) is a widespread tolerant forest tree-species, however, its adaptability to environmental change differs among sites with various buffering capacity. In this study, we compared the spatial effects of aridity index (AI) and nitrogen deposition (ND) on biomass density in natural and man-made pine stands of differing soil fertility using geographically weighted multiple lag regression. Soil fertility was defined using soil series as zonal trophic (27.9%), acidic (48.2%), gleyed (15.2%) and as azonal exposed (2.5%), maple (2.4%), ash (0.8%), wet (2.1%) and peat (0.9%) under pine stands in the Czech Republic (Central Europe, 4290.5 km2, 130-1298 m a.s.l.). Annual AI and ND in every pine stand were estimated by intersection between raster and vector from 1 x 1 km grid for years 2000, 2003, 2007 and 2010 of severe non-specific forest damage spread. Biomass density was obtained from a MODIS 250 x 250 m raster using the enhanced vegetation index (EVI) for years 2000-2015, with a decrease in EVI indicating non-specific damage. Environmental change was assessed by comparing predictor values at EVI time t and t+λ. Non-specific damage was registered over 51.9% of total forest area. Less than 8.8% of damaged stands were natural and the rest (91.2%) of damaged stands were man-made. Pure pine stands were more damaged than mixed. The ND effect prevailed up to 2007, while AI dominated later. Temporal increasing ND effect under AI effectiveness led to the most significant pine stand damage in 2008 and 2014. Predictors from 2000 to 2007 afflicted 58.5% of non-specifically damaged stands at R2 0.09-0.76 (median 0.38), but from 2000 to 2010 afflicted 57.1% of the stands at R2 0.16-0.75 (median 0.40). The most damaged stands occurred on acidic sites. Mixed forest and sustainable management on natural sites seem as effective remediation reducing damage by ND.",40103.0,"Samec, Pavel:Zapletal, Miloš:Lukeš, Petr:Rotter, Pavel",Environmental Pollution,3,high,high,0,1,medium,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aluminum and gallium substitution in yttrium and lutetium aluminumgallium garnets: investigation by single-crystal NMR and TSL methods,The work reports the results on 71Ga and 27Al NMR investigation of the gallium and aluminum ions distribution over tetrahedral and octahedral positions in the Y3Al(5-x)GaxO12:Ce single crystals and Lu3Al(5-x)GaxO12:Ce single crystalline epitaxial films. The gallium content x varies between 0-5 in crystals and 0.3-2 in films. We find that in both the Y and Lu-based solid solutions the larger gallium ions are preferably located at the tetrahedral position while the smaller aluminum ions prefer the octahedral position of the garnet host. Our data confirm that the tetrahedral site preference (over the octahedral site) for the Ga occupation is an intrinsic property of the mixed Y(Lu3)Al5-x)GaxO12 garnets.,0.0,"Laguta, Valentyn:Zorenko, Y.:Gorbenko, V.:Iskalieva, A.:Zagorodniy, Y.:Sidletskiy, O.:Bilski, P.:Twardak, A.:Nikl, Martin",Journal of Physical Chemistry C,3,medium,high,0,0,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Complex left branches, spellout, and prefixes","Higher-function words such as complementizers, negation, functional prepositions, definiteness particles, comparative markers, and so forth, occurring to the left of their lexical category, are argued to be base-generated as complex left branches, rather than spelling out the main functional sequence. This is generalized to all (base-generated) pre-asymmetries and post-asymmetries and derived from the structure of the lexical entries of the function words, dispensing with idiosyncratic notational devices equivalent to [+ suffix] or [+ needs-to-move]. These complex left branches require a merge-XP operation, and the place of this operation in the algorithm of spellout-driven movement is discussed.",60203.0,"Starke, Michal",Exploring Nanosyntax,3,medium,high,1,1,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CHAT gene polymorphism rs3810950 is associated with the risk of Alzheimer's disease in the Czech population,"Background: Cholinergic hypothesis of Alzheimer's disease (AD) is based on the findings that a reduced and/or perturbed cholinergic activity in the central nervous system correlates with cognitive decline in patients with Alzheimer's disease. The hypothesis resulted in the development of centrally-acting agents potentiating cholinergic neurotransmission, these drugs, however, only slowed down the cognitive decline and could not prevent it Consequently, the perturbation of the central cholinergic signalling has been accepted as a part of the Alzheimer's aetiology but not necessarily the primary cause of the disease. In the present study we have focused on the rs3810950 polymorphism of ChAT (choline acetyltransferase) gene that has not been studied in Czech population before. Methods: We carried out an association study to test for a relationship between the rs3810950 polymorphism arid Alzheimer's disease in a group of 1186 persons, 759 patients with Alzheimer's disease and 427 control subjects. Furthermore, we performed molecular modelling of the terminal domain (1st-126th amino acid residue) of one of the ChAT isoforms (M) to visualise in silico whether the rs3810950 polymorphism (A120T) can change any features of the tertiary structure of the protein which would have a potential to alter its function. Results: The AA genotype of CHAT was associated with a 1.25 times higher risk of AD (p &lt, 0.002) thus demonstrating that the rs3810950 polymorphism can have a modest but statistically significant effect on the risk of AD in the Czech population. Furthermore, the molecular modelling indicated that the polymorphism is likely to be associated with significant variations in the tertiary structure of the protein molecule which may impact its enzyme activity. Conclusions: Our findings are consistent with the results of the meta-analytical studies of the relationship between rs3810950 polymorphism and AD and provide further material evidence for a direct (primary) involvement of cholinergic mechanisms in the etiopathogenesis of AD, particularly as a factor in cognitive decline and perturbed conscious awareness commonly observed in patients with AD.",10608.0,"Hálová, Alice:Janoutova, Jana:Ewerlingová, Laura:Janout, Vladimír:Bonczek, Ondřej:Zeman, Tomáš:Gerguri, Tereza:Balcar, Vladimír Josef:Šerý, Omar",Journal of Biomedical Science,3,low,medium,0,1,medium,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pieces of people in the Pavlovian: burials, body parts and bones in the earlier Upper Palaeolithic","The rich earlier Mid-Upper Palaeolithic (Pavlovian) sites of Dolní Věstonice I and II and Pavlov I (32,000–30,000 cal BP) in southern Moravia (Czech Republic) have yielded a series of human burials, isolated pairs of extremities and isolated bones and teeth. The burials occurred within and adjacent to the remains of structures (‘huts’), among domestic debris. Two of them were adjacent to mammoth bone dumps, but none of them was directly associated with areas of apparent discard (or garbage). The isolated pairs and bones/teeth were haphazardly scattered through the occupation areas, many of them mixed with the small to medium-sized faunal remains, from which many were identified post-excavation. It is therefore difficult to establish a pattern of disposal of the human remains with respect to the abundant evidence for site structure at these Upper Palaeolithic sites. At the same time, each form of human preservation raises questions about the differential mortuary behaviours, and hence social dynamics, of these foraging populations and how we interpret them through an archaeological lens.",50404.0,"Trinkaus, Erik:Sázelová, Sandra:Svoboda, Jiří",Human Remains and Violence,3,medium,medium,1,0,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Russian View of a “Peripheral” Region. Nikodim P. Kondakov and the Southern Caucasus,"Because of the late nineteenth-century studies of Russian scholars, our understanding of medieval Caucasus seems to be largely determinate by the Russian imperial aspiration during the reign of Alexander III (1881–1894) and Nicolas I (1894– 1917). For these Tsars, the Caucasus was, before all, a uniform region with no distinction between Armenia and Georgia. Following this idea, scholars like Nikodim P. Kondakov (1844–1825) or Dimitrij Bakradze (1826–1890) presented the medieval region as a homogenous phenomenon, regardless of the cultural and political reality of the Middle ages. Through the imperial glance, the Caucasus was just the periphery of an international empire. In the same way, the medieval artistic cultures of the southern Caucasus were presented by the aforementioned scholars as a cultural periphery of the Byzantine world. Despite of the incredible quality of Georgian enamels or of the Armenian architecture, the art of this region was thus considered provincial.",0.0,"Foletti, Ivan","Convivium. Exchanges and Interactions in the Arts of Medieval Europe, Byzantium, and the Mediterranean. Seminarium Kondakovianum Series Nova",3,low,low,1,0,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quaternary Ammonium Compounds: Simple in Structure, Complex in Application","Quaternary ammonium compounds, referred to as QACs, are cationic substances with a structure on the edge of organic and inorganic chemistry and unique physicochemical properties. The purpose of the present work is to introduce QACs and their wide application potential. Fundamental properties, methods of preparation, and utilization in organic synthesis are reviewed. Modern applications and the use of QACs as reactive substrates, reagents, phase-transfer catalysts, ionic liquids, electrolytes, frameworks, surfactants, herbicides, and antimicrobials are further covered. A brief discussion of the health and environmental impact of QACs is also provided. The emphasis is largely on tetraalkylammonium compounds bearing linear alkyl chains.",10400.0,"Bureš, Filip",Topics in Current Chemistry,3,medium,medium,0,0,medium,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Effect of amidated alginate on faecal lipids, serum and hepatic cholesterol in rats fed diets supplemented with fat and cholesterol","The effect of octadecylamide of alginic acid on serum and hepatic cholesterol, and the faecal output of fat and sterols was examined in female rats fed diets containing cholesterol and palm fat at 10 and 50 g kg−1, respectively. Cholesterol supplementation significantly increased serum and hepatic cholesterol concentrations, and faecal output of cholesterol and coprostanol. Cholesterol and amidated alginate supplementations changed the profile of fatty acids in the faeces. Cholesterol increased molar percentages of saturated fatty acids and amidated alginate reversed this effect. Amidated alginate, supplied at 10, 20 and 40 g kg−1, significantly decreased serum cholesterol from 2.82 to 2.00, 1.95, and 1.63 μmol mL−1, respectively, and significantly decreased hepatic cholesterol from 13.8 to 9.33, 7.81 and 6.3 μmol g−1, respectively. Amidated alginate increased the faecal output of fat and neutral sterols in a dose-dependent manner. In contrast, the output of bile acids was significantly decreased. The faecal outputs of fat and serum cholesterol were negatively correlated. At the highest concentration tested, amidated alginate significantly reduced the serum concentration of triacylglycerols. It can be concluded that amidated alginate is an effective cholesterol-lowering agent and sorbent of dietary fat.",10608.0,"Marounek, Milan:Volek, Zdeněk:Taubner, Tomáš:Dušková, Dagmar:Čermák, Ladislav",International Journal of Biological Macromolecules,3,medium,high,0,1,medium,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"Characterizing the uppermost 100 m structure of the San Jacinto fault zone southeast of Anza, California, through joint analysis of geological, topographic, seismic and resistivity data","We present results from complementary geological, topographic, seismic and electrical resistivity surveys at the Sagebrush Flat (SGB) site along the Clark fault (CF) strand of the San Jacinto fault zone trifurcation area southeast of Anza, California. Joint interpretation of these data sets, each with unique spatiotemporal sensitivities, allow us to better characterize the shallow (<100 m) fault zone at this structurally complex site. Geological mapping at the surface shows the CF has three main subparallel strands within a <100 m zone with varying degrees of rock damage. These strands intersect units of banded gneiss and tonalite, and various sedimentary units. Near the surface, the weathered but more intact tonalite and gneiss to the southwest have relatively high V-P. The low-lying flat sedimentary basins around the two southwestern-most CF strands and elevated damaged gneiss to the northeast have lowest V-P <500 m s(-1). The high relief of the northeast gneiss unit may in part be explained by its extensive damage and inferred increased relative rock uplift. Resistivity imaging shows the unconsolidated dry basin sediments (maximum >1300 Ohm.m) contrasted against the compacted fine-grained (potentially wet) materials within the CF core and the Bautista Formation (minimum <40 Ohm.m), which is slightly elevated above the flat basins. The inverse relationship between VP (increases) and resistivity (decreases) in the uppermost similar to 15 m can be characterized as log-log linear with slopes of -2.6 to -4. At depths >30 m, the velocity heterogeneity near the surface merges into larger-scale structures that are generally slower on the northeast side of the CF core compared to the southwest side (as much as similar to 40 per cent reduction in average V-P). A previous study revealed a 20-37 per cent variability in peak ground velocities across the SGB site from local earthquakes. The upper end of that range is associated with the near-surface unconsolidated sedimentary basins and northeast damaged gneiss unit. Preliminary analysis of time-dependent topography mostly shows effects of changing vegetation and anthropogenic activity.",10505.0,"Share, P.E.:Tábořík, Petr:Štěpančíková, Petra:Stemberk, Jakub:Rockwell, Thomas:Wade, A.:Arrowsmith, J.R.:Donnellan, A.:Vernon, F.L.:Ben-Zion, Y.",Geophysical Journal International,3,low,high,0,1,medium,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ten years of VINQUEST: first insight for breeding new apple,"Apple scab, caused by Venturia inaequalis, is a major disease worldwide. To control this disease, up to 20–25 fungicide applications may be needed depending on the year and the production system. Breeding for durable scab resistance is an objective of most apple breeding programmes. Cultivation of apple scab-resistant cultivars would reduce the chemical footprint of apple production. One way to achieve durable resistance is to pyramid multiple apple scab resistance genes in a cultivar. Currently, more than 18 different apple scab resistance genes have been reported. Molecular markers are available for most of them and can be used to select seedlings carrying multiple resistance genes. However, one key question remains to be answered: which genes should be chosen to create durable resistance? Unfortunately, very little is known on the presence and geographical distribution of apple scab isolates virulent to specific apple scab resistance genes. In order to fill this knowledge gap, the VINQUEST project (www.vinquest.ch) was initiated in 2009. Ten years after the launch of this initiative, 24 partners from 14 countries are regularly contributing data. Results obtained from the data collected during the first 10 years allowed us to have first insights into which apple scab resistance genes may hold most promise for breeding cultivars with durable resistances. Apple breeders will be able to make informed choices about combining scab resistance genes based on the virulences present in the regional V. inaequalis populations.",40106.0,"Vávra, Radek:Patocchi, A.:Wehrli, A.:Dubuis, W.:Auwerkerken, A.:Leida, L.:Cipriani, G.:Passey, G.:Staples, M.:Didelot, F.:Philion, V.:Peil, A.:Laszakovits, H.:Rühmer, T.:Boeck, K.:Baniulis, D.:Strasser, K.:Guerra, W.:Masny, L.:Ruess, F.:Le Berre, F.:Nybom, H.:Tartarini, S.:Spornberger, A.:Pikunova, A.:Bus, V.",Plant Disease,3,medium,medium,1,1,medium,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Status of the COMPASS tokamak and characterization of the first H-mode,"This paper summarizes the status of the COMPASS tokamak, its comprehensive diagnostic  equipment and plasma scenarios as a baseline for the future studies. The former COMPASS-D  tokamak was in operation at UKAEA Culham, UK in 1992–2002. Later, the device was  transferred to the Institute of Plasma Physics of the Academy of Sciences of the Czech  Republic (IPP AS CR), where it was installed during 2006–2011. Since 2012 the device has  been in a full operation with Type-I and Type-III ELMy H-modes as a base scenario. This  enables together with the ITER-like plasma shape and flexible NBI heating system (two  injectors enabling co- or balanced injection) to perform ITER relevant studies in different  parameter range to the other tokamaks (ASDEX-Upgrade, DIII-D, JET)and to contribute to  the ITER scallings. In addition to the description of the device, current status and the main diagnostic equipment, the paper focuses on the characterization of the Ohmic as well as NBIassisted H-modes",0.0,"Pánek, Radomír:Adámek, Jiří:Aftanas, Milan:Bílková, Petra:Böhm, Petr:Brochard, F.:Cahyna, Pavel:Cavalier, Jordan:Dejarnac, Renaud:Dimitrova, Miglena:Grover, O.:Harrison, J.:Háček, Pavel:Havlíček, Josef:Havránek, Aleš:Horáček, Jan:Hron, Martin:Imríšek, Martin:Janky, Filip:Kirk, A.:Komm, Michael:Kovařík, Karel:Krbec, Jaroslav:Kripner, Lukáš:Markovič, Tomáš:Mitošinková, Klára:Mlynář, Jan:Naydenkova, Diana:Peterka, Matěj:Seidl, Jakub:Stöckel, Jan:Štefániková, Estera:Tomeš, Matěj:Urban, Jakub:Vondráček, Petr:Varavin, Mykyta:Varju, Jozef:Weinzettl, Vladimír:Zajac, Jaromír",Plasma Physics and Controlled Fusion,3,low,medium,1,1,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
From Golden Plains through Black Mountains to the Silver Sea: Nostalgic Spaces of Migrants from the former Yugoslavia,The essay offers a coherent analysis of the geographical places endowed with symbolic meaning that produce the emotions of nostalgia in those who migrated into other territorial spaces.,0.0,"Daniel, Ondřej",Migration and Landscape Transformation : Changes in Central and Eastern Europe in the 19th and 20th Century,3,medium,medium,0,0,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quality Assessment of Sharpened Images: Challenges, Methodology, and Objective Metrics","Most of the effort in image quality assessment (QA) has been so far dedicated to the degradation of the image. However, there are also many algorithms in the image processing chain that can enhance the quality of an input image. These include procedures for contrast enhancement, deblurring, sharpening, up-sampling, denoising, transfer function compensation, and so on. In this paper, possible strategies for the QA of sharpened images are investigated. This task is not trivial, because the sharpening techniques can increase the perceived quality, as well as introduce artifacts leading to the quality drop (over-sharpening). Here, the framework specifically adapted for the QA of sharpened images and objective metrics comparison in this context is introduced. However, the framework can be adopted in other QA areas as well. The problem of selecting the correct procedure for subjective evaluation was addressed and a subjective test on blurred, sharpened, and over-sharpened images was performed in order to demonstrate the use of the framework. The obtained ground-truth data were used for testing the suitability of the state-of-the-art objective quality metrics for the assessment of sharpened images. The comparison was performed by novel procedure using rank order correlation analyses, which is found more appropriate for the task than standard methods. Furthermore, seven possible augmentations of the no-reference S3 metric adapted for sharpened images are proposed. The performance of the metric is significantly improved and also superior over the rest of the tested quality criteria with respect to the subjective data.",20201.0,"Krasula, Lukáš:Le Callet, P.:Fliegel, Karel:Klíma, Miloš",IEEE Transactions on Image Processing,3,high,high,1,1,medium,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Carbogels: carbonized conducting polyaniline/poly(vinyl alcohol) aerogels derived from cryogels for electrochemical capacitors,"Polyaniline cryogels supported with poly(vinyl alcohol) represent soft conducting macroporous materials suitable for conversion to aerogels by freeze-drying and, subsequently, to nitrogen-containing carbogels by carbonization in an inert atmosphere at 500–600 °C. The process was followed by thermogravimetric analysis and Raman spectroscopy at the molecular level. The spectral features indicate a significant degree of structural disorder in the material due to the extensive nitrogen and oxygen incorporation into the carbon sp2 network, which is important for the improvement of capacitive performance. The macroporous morphology is preserved after carbonization but the specific surface area increased from 12 to 680 m2 g−1 after exposure to 500 °C in an inert atmosphere. The original conductivity of the cryogel swollen with an acid solution, 0.07 S cm−1, was reduced to 2 × 10−4 S cm−1 for the aerogel and again to 10−9 S cm−1 as the carbonization progressed. The impedance spectra display Maxwell–Wagner–Sillars relaxation typical of heterogeneous composite systems with the contribution of ionic conductivity. The decrease in conductivity is in agreement with the significant drop in the static dielectric constant observed by broad-band dielectric spectroscopy and decrease in the spin number determined by electron paramagnetic resonance spectroscopy. Switching in the capacitive response from that dominated by faradaic surface processes at lower treatment temperatures to that of double-layer charging at elevated temperatures is evidenced, while the correlation between surface spin density and specific capacitance is emphasized. The results can be used as guidance for the rational design of novel active materials for electrochemical capacitors.",10404.0,"Bober, Patrycja:Pfleger, Jiří:Pašti, I. A.:Gavrilov, N.:Filippov, Sergey K.:Klepac, D.:Trchová, Miroslava:Hlídková, Helena:Stejskal, Jaroslav",Journal of materials chemistry A,3,medium,high,1,1,medium,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EasyMiner.eu: Web Framework for Interpretable Machine Learning based on Rules and Frequent Itemsets,"EasyMiner (http://www.easyminer.eu) is a web-based machine learning system for interpretable machine learning based on frequent itemsets. The system currently offers association rule learning (apriori, FP-Growth) and classification (CBA). For association rule learning and classification, EasyMiner offers a visual interface designed for interactivity, allowing the user to define a constraining pattern for the mining task. The CBA algorithm can also be used for pruning of the rule set, thus addressing the common problem of “too many rules” on the output, and the implementation supports automatic tuning of confidence and support thresholds. The development version additionally supports anomaly detection (FPI and its variations) and linked data mining (AMIE+). EasyMiner is dockerized, some of its components are available as open source R packages.",10201.0,"Vojíř, S.:Zeman, V.:Kuchař, Jaroslav:Kliegr, T.",Knowledge-Based Systems,3,medium,medium,0,1,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Between fraternal help and economic realism. The employment of Polish workers in Czechoslovakia 1945–1950,"The paper deals with the topic of the employment of the Polish workers in post- -war Czechoslovakia. Analysed are mainly the features of the Czechoslovak workforce policy with some insight into the political context of the Czechoslovak-Polish relations. Despite the tensions, the employment of Polish citizens in Czechoslovak coal mines continued after the war in line with the laws of supply and demand. The advantages of the temporary border crossing, were enjoyed and quietly tolerated by both parties. First, with the start of the five- and six-year Plans in both countries, this development conformed with the demands of the centrally directed policy for the distribution of workforce stemming from a planned economy. From its very beginning, recruitment of Polish agricultural workers represented a method employed by the government in its attempt to cope with the permanent shortage of workers in the post-war Czechoslovak labour market. Just like the other emergency measures, it was accompanied by disproportions in economic costs. The influence of political symbols which were detrimental to the economy were also among the specific attributes of this arrangements. The development in both cases reveals a change in the economic as well as political thinking on the threshold of the communist rule.",60101.0,"Dvořák, Tomáš",Historia Slavorum Occidentis,3,low,medium,1,0,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Full-scale experimental testing of the blast resistance of HPFRC and UHPFRC bridge decks,"Because of the current geopolitical situation, research on improving the resistance of the civil and transport infrastructure to blast or impact loads has gained considerable attention in recent years. This paper presents the results of full-scale blast experiments designed to characterize the resistance of steel-ﬁber reinforced concrete full-scale bridge decks subjected to near-ﬁeld blast loading, and its dependence on the material properties of the concrete. The blast performance of reinforced concrete specimens increases with added high-performance steel ﬁbers. An increase in ﬁber content and in compressive strength up to ultrahigh-performance ﬁber concrete (UHPFRC) further enhances its blast performance. An attempt was made to further increase the blast resistance of a concrete structure with the use of a basalt mesh. The UHPFRC specimen with a basalt mesh experienced a greater extent of internal damage than a regular UHPFRC specimen. However, the basalt mesh inserted into the concrete cover at the sofﬁt of the UHPFRC specimen improved its blast performance, as expressed by the area of spalling and the volume of debris. This phenomenon was studied numerically, and it was proved that it is caused by the internal rebound of the shock wave, which causes a local increase in the stresses inside the specimen. The heterogeneity of the specimens, which is increased by an internal reinforcement or by a basalt mesh, converts the blast damage due to internal rebounds into layer delamination. The delamination of the concrete specimen can be very effective in dissipating the energy of the blast wave.",20102.0,"Foglar, Marek:Hájek, Radek:Fládr, Josef:Pachman, J.:Štoller, J.",Construction and Building Materials,3,high,high,0,1,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
Grassland restoration on ex-arable land by transfer of brush-harvested propagules and green hay,"Effective restoration of meadows requires seeds of local provenance to preserve not only the species diversity but also the genetic identity of plant communities. We compared three different methods of seed harvesting from local meadow communities and assessed their efficiency in meadow restoration on ex-arable land. These methods were: brush harvesting once only, brush harvesting three times during a season, and green hay transfer. We observed the composition of species and functional traits of seed source meadows, sampled the three harvested seed mixtures and monitored plant communities restored on ex-arable land with this seed over the five following years. Green hay transfer was the method producing the highest amount of seeds (expressed as mass) and the highest number of species per unit of source-meadow area, followed by brush harvesting three times during one season and once only, respectively. This resulted in the highest establishment rate of species on ex-arable land in the green hay transfer method, followed by brush harvesting three times during one season and once only, respectively. Across all methods, species abundant in the seed mixture, having a low specific leaf area and a low capacity for lateral clonal spread, were the most successfully harvested and established ones. In the restored communities, mainly species number and cover of legumes but also of target meadow species increased with time, while ruderal weedy species decreased. Concerning species number and composition as well as trait spectrum, green hay transfer was the most successful method of restoration, resulting in a community most similar to the seed source meadow.",10618.0,"Ševčíková, Magdalena:Frei, Ivana:Albert, Ágnes-Júlia:Mudrák, Ondřej:Jongepierová, Ivana:Fajmon, Karel:Klimešová, Jitka:Doležal, Jiří","Agriculture, Ecosystems & Environment",3,high,high,0,1,medium,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
European LeukemiaNet recommendations for the management and avoidance of adverse events of treatment in chronic myeloid leukaemia,"Most reports on chronic myeloid leukaemia (CML) treatment with tyrosine kinase inhibitors (TKIs) focus on efficacy, particularly on molecular response and outcome. In contrast, adverse events (AEs) are often reported as infrequent, minor, tolerable and manageable, but they are increasingly important as therapy is potentially lifelong and multiple TKIs are available. For this reason, the European LeukemiaNet panel for CML management recommendations presents an exhaustive and critical summary of AEs emerging during CML treatment, to assist their understanding, management and prevention. There are five major conclusions. First, the main purpose of CML treatment is the antileukemic effect. Suboptimal management of AEs must not compromise this first objective. Second, most patients will have AEs, usually early, mostly mild to moderate, and which will resolve spontaneously or are easily controlled by simple means.",0.0,"Steegmann, J.L.:Baccarani, M.:Breccia, M.:Casado, L.F.:García-Gutiérrez, V.:Hochhaus, A.:Kim, D.-W.:Kim, T.D.:Khoury, H.J.:Coutre, P. Le:Mayer, Jiří:Milojkovic, D.:Porkka, K.:Rea, D.:Rosti, G.:Saussele, S.:Hehlmann, R.:Clark, R.E.",Leukemia,3,low,medium,1,0,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
